feedback_id,order_id,customer_id,rating,feedback_category,sentiment,feedback_date
2234710,1961864118,30065862,4,customer service,negative,2023-07-24
5450964,1549769649,9573071,5,delivery,negative,2024-06-21
482108,9185164487,45477575,2,delivery,neutral,2024-10-06
4823104,9644738826,88067569,2,product quality,negative,2024-01-12
3537464,5427684290,83298567,,,,
4089724,3265154092,43367112,,,,
230696,4898355547,13284996,1,delivery,negative,2024-09-13
2259308,6568151549,88866835,1,delivery,neutral,2024-04-13
7380970,6006693867,24496983,3,product quality,negative,2023-09-12
2257242,374186990,52215833,5,app experience,neutral,2023-07-04
1837573,4455336265,43431724,3,app experience,positive,2023-04-25
258023,3539286337,77559557,3,product quality,negative,2023-07-12
3081099,9171116867,87107263,1,product quality,neutral,2023-11-17
3158837,5504941865,76512976,,,,
9465932,5868326481,37556526,1,delivery,negative,2024-09-04
8111644,2137046916,12059049,2,delivery,negative,2024-07-27
121425,8195544338,26199489,3,delivery,negative,2024-11-17
8267419,2889700050,84848018,1,delivery,negative,2024-11-06
7168244,65827885,47577193,4,delivery,neutral,2023-10-21
2482108,4656471694,60728956,1,app experience,positive,2024-10-15
3769939,6625178717,62068277,2,app experience,neutral,2024-04-12
9592296,7169557514,84824280,4,,,2024-08-13
1592958,2268306684,66742602,2,app experience,positive,2024-09-07
2088819,6905293278,97259564,4,delivery,neutral,2023-10-06
3567003,1769493463,3292927,1,customer service,positive,2024-03-07
2903160,5003387344,26592009,4,delivery,negative,2024-04-04
7511717,2064484752,89995124,3,delivery,positive,2024-03-28
1055307,964822979,88520326,1,product quality,neutral,2023-11-24
1477592,6037899648,22738465,1,product quality,negative,2024-07-14
7898352,9347571484,29562072,2,customer service,positive,2024-06-07
8804364,3286177534,10225164,2,app experience,negative,2023-11-25
1208337,9073572548,97111069,4,customer service,negative,2024-05-03
4382390,8395583761,1989720,2,product quality,negative,2024-04-14
4858018,6355378227,67092149,,,,
2400571,277376321,89784343,2,app experience,neutral,2024-04-19
3093140,8559748526,45868300,5,delivery,negative,2023-10-02
9407783,1458051433,50760752,1,app experience,negative,2024-06-03
1180902,5838302640,96795047,5,customer service,neutral,2024-12-06
6888502,1380971977,16561710,2,delivery,neutral,2024-09-29
8679241,1221099013,35156679,3,delivery,negative,2023-09-03
7512781,6771166303,87718744,1,customer service,negative,2024-09-28
5356601,7111337755,10524732,2,delivery,neutral,2024-01-26
9043273,5562922993,62416456,3,product quality,negative,2024-01-23
3470106,5630957897,69925688,1,app experience,neutral,2024-10-18
5957700,1787380558,5140660,1,customer service,neutral,2023-10-18
8956798,32613017,82594354,4,delivery,negative,2023-12-31
4843776,2039041670,88324928,1,product quality,neutral,2024-09-19
8241448,210693801,71235336,2,app experience,neutral,2024-05-09
1664531,8120002258,57833505,5,delivery,negative,2024-01-14
4940244,2177917034,12402437,1,delivery,positive,2024-08-13
7165598,4254814926,59890331,2,delivery,neutral,2024-06-23
4424806,6074172790,14944819,1,app experience,neutral,2024-01-13
2074845,3381573131,67386193,2,delivery,negative,2024-12-03
417728,3773745777,67701771,1,customer service,negative,2023-10-11
5642561,9251939156,89910157,1,customer service,positive,2024-03-13
261554,3872982303,15484407,1,delivery,neutral,2024-05-21
1822011,2625987757,10769994,2,customer service,positive,2024-05-15
4763044,3162249401,85519349,2,delivery,neutral,2024-02-16
5621837,3108986741,49241309,2,product quality,negative,2023-07-15
4571579,1851474741,23348269,2,product quality,neutral,2024-03-07
3853657,2425099132,85016568,1,customer service,positive,2023-09-30
7245923,6706793332,6247821,1,product quality,neutral,2024-08-06
2338813,2149289255,57579640,2,app experience,neutral,2024-11-25
2222062,1971008155,2457734,3,product quality,negative,2024-03-05
6813661,2087093460,59329145,1,product quality,negative,2024-05-10
4065309,2116712588,24043135,2,customer service,negative,2024-09-14
3025076,6054358790,59216664,5,delivery,positive,2023-05-15
9329920,532660797,41008070,5,customer service,positive,2024-08-16
1307363,1491991005,52215833,3,delivery,negative,2023-05-30
1930153,4136019599,74179536,2,,,2023-09-18
5614682,2122832513,55028958,5,app experience,positive,2024-07-10
6784407,3717703595,88965399,5,delivery,positive,2023-10-24
2013422,3194733693,21866852,1,delivery,negative,2024-10-30
344048,4471162437,27971619,4,customer service,negative,2024-03-25
3089818,1609331948,8791577,2,product quality,negative,2024-01-21
5340615,6920030794,70372270,2,delivery,negative,2023-07-08
8229982,5127172657,32293017,3,,negative,2025-01-09
2195625,8607115856,15931134,1,product quality,negative,2023-10-31
4371570,7154957395,60700850,1,delivery,neutral,2023-06-11
7289033,2070762702,34761418,5,app experience,positive,2024-06-04
2978291,3697242439,99361865,3,delivery,neutral,2024-06-25
9074696,3063427913,75984768,3,delivery,neutral,2024-09-19
4994827,2060061337,29272253,3,delivery,neutral,2024-08-02
1932712,4625892678,80371626,3,customer service,neutral,2024-07-20
5568145,6045698170,666589,5,customer service,negative,2023-05-19
8266029,7876289647,98858383,2,delivery,negative,2024-02-22
7621707,3434084714,46836361,5,app experience,positive,2024-08-17
545267,9031695663,94730288,1,delivery,negative,2024-07-28
2056599,1955989715,77862447,1,delivery,neutral,2023-10-31
2265740,3459500455,16379942,2,delivery,negative,2023-11-20
2438008,5953376503,79169760,5,customer service,negative,2023-09-24
7517891,121874867,94529626,3,delivery,neutral,2025-01-28
5506466,2460545397,42872865,1,product quality,negative,2024-07-02
