order_id,delivery_partner_id,distance_km
1961864118,63230,0.96
1549769649,14983,0.98
9185164487,39859,3.83
9644738826,61497,2.76
5427684290,84315,2.63
3265154092,554,1.94
4898355547,14630,2.2
6568151549,67714,1.3
6006693867,91362,3.38
374186990,77203,1.47
4455336265,64046,0.76
3539286337,94899,3.68
9171116867,73907,2.23
5504941865,56077,4.45
5868326481,94140,2.8
2137046916,12377,1.78
8195544338,102,1.16
2889700050,45032,3.07
65827885,1108,1.65
4656471694,62782,3.7
6625178717,74906,4.22
7169557514,79516,3.28
2268306684,65733,1.82
6905293278,53868,0.58
1769493463,22954,1.21
5003387344,21004,4.52
2064484752,43022,2.29
964822979,42914,1.09
6037899648,59131,4.56
9347571484,88612,3.29
3286177534,90038,3.07
9073572548,28575,4.77
8395583761,84816,3.53
6355378227,23910,3.91
277376321,78589,3.85
8559748526,93002,0.94
1458051433,61040,2.75
5838302640,30907,1.7
1380971977,52614,4.09
1221099013,60689,3.15
6771166303,98179,2.55
7111337755,84833,3.44
5562922993,73904,1.64
5630957897,14408,3.92
1787380558,95835,2.8
32613017,77303,4
2039041670,31963,2.12
210693801,14789,2.5
8120002258,61526,2.43
2177917034,75636,0.73
4254814926,1761,1.74
6074172790,3481,2.48
3381573131,50582,4.91
3773745777,97135,3.31
9251939156,57095,2.35
3872982303,60234,2.6
2625987757,51273,4.7
3162249401,47552,1.72
3108986741,60867,2.09
1851474741,12879,4.09
2425099132,44245,1.07
6706793332,76503,2.99
2149289255,25251,2.56
1971008155,30330,0.86
2087093460,27478,0.77
2116712588,34078,4.26
6054358790,52564,3.96
532660797,97547,4.9
1491991005,85285,0.89
4136019599,34667,4.58
2122832513,39396,3.97
3717703595,8041,2.48
3194733693,16623,1.74
4471162437,54708,3.78
1609331948,58721,1.56
6920030794,38745,3.47
5127172657,80034,4.41
8607115856,85718,2.33
7154957395,63099,2.28
2070762702,64950,3.61
3697242439,67408,4.71
3063427913,24100,4.76
2060061337,50748,3.08
4625892678,40337,2.74
6045698170,16848,3.86
7876289647,28786,2.54
3434084714,58201,3.51
9031695663,43200,3.71
1955989715,8135,4.81
3459500455,20504,2.66
5953376503,34929,0.56
121874867,69733,3.08
2460545397,50527,2.53
9690050839,76868,3.82
2574349065,406,1.72
2461936988,77590,4.4
6447596416,45656,4.27
7228452275,96211,4.62
6696750742,89976,4.39
822235931,1773,1.42
7678251499,60822,1.85
2497341976,42711,1.33
9107314128,21125,2.2
9855726256,59743,0.96
9398719862,4852,0.85
379494532,99227,3.39
1048784963,35552,2.18
4386246924,56384,3.44
2050362692,16076,3.48
4142963293,74308,1.26
9753528654,63454,1.84
8126970833,83636,1.13
9747814712,33342,1.23
6281619403,12086,4.51
436184281,59936,0.74
9799231260,58378,0.9
4071811527,27993,2.39
5645359563,45180,4.78
9411813703,32773,0.65
4270217473,4904,1.23
279851011,73623,4.34
6260524887,22883,3.76
5853998391,23606,4.67
9931976872,97297,3.03
8432209832,18907,4.17
6023721507,72197,2.05
3042338919,70995,1.33
233646065,56968,4.89
9870610018,44706,0.86
1398230967,92744,4.81
8615488922,1328,3.94
2748841057,11008,0.84
1375867721,21511,4.45
8595141097,19332,4.33
4673382071,97477,4.9
2948696008,89164,2.28
6839692624,44627,1.17
5770951298,4946,0.95
5084771819,66403,1.37
422403644,23782,0.56
7176758896,75492,2.94
8252905093,40596,3.25
1488561572,31495,2.51
6212984517,15665,1.27
6309784337,23009,4.05
4613890018,82638,3.82
3429728472,77476,1.25
267738904,73022,4.28
3850416839,32659,1.32
3412702479,35140,1.11
2016183232,38755,1.63
3810280204,70290,0.75
2416767295,28144,1.13
2283439407,58922,0.57
4328802292,66985,3.65
7072715691,82046,3.65
5640741373,20090,4.34
6931094066,66225,3.82
3417088709,63738,1.29
4424404315,8506,2.43
2444087306,75692,4.67
486085268,90390,0.53
1731312620,75316,2.13
6475582506,52304,2.09
1868581378,38861,3.94
8884235937,81977,4.57
4590662628,18200,2.1
992302540,12863,3.48
7169974633,69861,2.57
6703651257,4285,2.43
7180810221,59848,0.51
7875587578,40025,3.53
2578671497,64618,0.79
6284350691,9053,4.5
5383261788,94840,2.11
6590867973,23582,0.73
8787105023,54795,3.68
1402916311,57649,2.72
9715205272,21783,4.93
3946852375,92389,4.04
3367039425,72408,1.38
687711388,44884,1.67
647012431,94183,0.92
7143278295,89680,1.65
9736844695,87624,1.4
5933289680,1722,2.24
9494303116,12071,3.87
9337878102,15234,0.63
6872621077,42244,3.42
7330237253,18688,3.63
7942616242,76694,4.96
238520071,91088,1.92
5812379362,68969,4.52
2616623847,43649,4.33
2040854480,11814,2.48
5456484560,32681,3.76
883309006,23074,3.46
6528341992,50910,2.7
3263203775,38308,3.36
3660010934,17404,2.74
7944885043,16741,2.23
2506369831,62473,4.07
697061213,80729,1.48
7079057004,16501,3.58
1556153632,45137,0.75
2161235338,96206,4.68
1247978468,30662,1.56
5437627061,39894,4.76
9091960039,51540,2.76
619198317,83654,4.77
9833179291,97223,0.59
4148760273,55805,4.35
7206041763,1128,2.69
690097648,92460,1.87
4197061567,48139,0.66
2009394836,71878,3.18
277502363,18055,4.14
4356959622,94308,3.45
174306009,35598,1.41
9582674091,16055,3.55
8675579025,13158,3.41
5195999941,12987,2.34
5210007923,94672,2.16
6595771960,72175,1.75
4247338382,85815,4.26
819143326,73801,4.37
3830844750,95930,4.35
1687314172,86120,3.7
6756007265,48609,4.05
489762747,93825,3.26
7509195875,96839,4.89
2370917070,13883,2.92
2055388266,80608,1.43
8969304162,67811,1.66
5412674107,15617,1.75
1536516619,44378,2.48
3858907413,29907,4.53
4976389251,89142,1.42
2218319201,957,3.58
6729422433,99898,2.81
1354097448,10089,1.71
8952275304,95373,1.27
436603801,64535,3.24
5273875984,60888,0.98
9290203003,44829,1.9
6240982373,16774,0.97
2718348206,66580,2.16
4903544026,7486,4.24
2827266949,24708,0.86
4278423074,23667,1.71
645916247,98927,3.22
5816647866,84702,1.15
7282397914,26008,2.19
3260611473,28392,2.73
8638163868,29019,1.66
177850987,61247,2.9
9653859166,72058,0.95
9991338690,50037,2.15
1714593246,11180,1.89
9742461226,16877,1.16
3314393477,37197,4.51
4188317986,48031,2.74
1646665366,59753,3.22
9558804585,32740,1.81
9047652469,27774,3.21
2893800377,54327,4.56
6139157985,23927,1.17
6029394789,28593,2.43
5874940276,22218,1.62
5205211911,38835,0.86
5314758068,68342,2.53
484869710,41598,4.8
9957728938,64839,4.11
3136056666,60976,2.35
4926104391,13060,3.91
1827844756,78517,1.67
7032037874,59618,2.75
3779230503,52785,2.32
3473012553,99684,3.48
7988504487,86506,1.73
7193792738,91241,2.36
1533583386,40902,4.03
7750989397,42583,2.23
4434816229,17469,4.05
6896732047,29664,4.18
4740837071,70,4.31
6649631729,9599,0.86
5351526726,18337,2.79
1506082041,80462,1.04
1023260165,93967,3.36
8257032403,71946,2.03
7216524192,79713,3.33
8619795820,68794,4.22
6494708839,36208,4.68
9859249765,19900,4.49
3528020011,32566,2.96
5937934264,41221,1.83
2976477423,2591,2.26
1002438039,52508,1.4
2571163022,59402,4.14
6850221497,43013,3.02
4706569127,74560,4.56
8168261752,18998,2.24
5828325906,34564,4.29
5012271549,31783,2.59
8110316958,29001,1.73
3190808443,42099,0.54
7175472728,95658,4.77
6011117738,8264,1.47
5592928753,96131,3.13
3952040848,16761,4.44
7026479520,82300,3.2
6572695161,11353,0.88
9090769419,45133,2.74
5979489110,8681,1.9
964698323,88842,2.87
2304242664,76144,2.7
2483843748,62504,0.78
2560588609,48964,1.87
9268920928,26193,1.7
9554019312,24936,3.54
3749174258,32618,2.28
3947164241,82928,3.26
487327038,84314,1.42
8830321199,6336,1.29
3811318591,44363,4
6795601573,52656,3.02
2348495717,80421,3.49
9505736584,32176,2.92
1857227304,24481,3.14
5506485302,21250,2.4
6074837981,2837,3.59
4150569633,40413,3.71
609838437,34363,1.66
5229657139,96161,2.36
2589639350,90443,3.06
7656948165,8275,2.72
1806563605,16607,2.11
359819834,70910,1.31
1908423841,62488,1.43
299859815,62089,4.11
923659418,24003,2.11
3560625119,64562,2.61
7111490680,9546,1.85
5766981431,55608,4.34
8609945311,66475,3.22
1691260635,74826,3.43
8742091504,69967,3.54
1997833025,77103,2.37
3588296877,73215,3.92
2404804990,38923,3.6
8091385479,66240,1.44
7133174424,63462,1.38
6110446321,60577,4.49
6964586050,40358,2.19
2351986014,34744,1.66
352569720,23236,4.29
1235280275,90779,1.62
9399859705,31133,1.12
7530379037,79485,4.3
5952886441,23150,3.27
5815833211,78640,4.11
7307394687,28767,4.97
6033014029,31624,2.16
1409944718,92890,4.11
1811382200,97252,1.62
4485391413,91131,3.19
4076279641,25713,3.35
2965387566,57502,3.9
9397774189,38813,3.57
1437159967,69843,0.58
8397785448,99345,1.34
2778606949,16105,2.56
1774096863,51118,3.85
1497256618,24651,3.64
734095510,6790,4.78
5755859055,8522,1.07
5840290569,92356,4.15
8200985533,92929,4.54
3255590064,88039,0.57
4258404747,91951,1.33
2455161115,23471,0.68
4448004569,49742,1.77
5951090793,35150,4.97
7402491996,15459,1.19
8532411923,82328,4.22
7130555385,48673,4.26
4338197132,9198,4.4
8044366071,31310,3.38
4135251774,81045,2.86
6331483812,45259,0.54
6705171000,64847,4.31
7850128898,29466,3.07
3602554049,77387,1.84
1070259187,61963,1.5
8412338399,67313,2.1
1478022303,23035,1.19
2376108199,27586,4.27
5243035202,1015,2.6
3687581971,63325,4.62
7008586055,67465,3.94
5142069216,60557,4.56
4152441944,46535,2.98
5601670348,47213,4.64
605105099,39281,2.32
4054936140,5888,4.95
8741892156,10769,1.27
9143640828,902,0.83
6900876252,80644,0.55
9801174908,33767,2.38
551343632,89726,0.79
7961173808,3302,0.58
328909145,32899,1.52
5551173528,16125,1.24
4461788759,90986,3.67
7256212429,87815,1.74
9104077642,20446,2.5
2914056235,86053,2.9
9127632807,72143,0.77
6070154414,72709,1.12
2318969828,37500,1.54
3813047994,90983,4.11
1416102774,99752,3.89
8086834412,90596,2.96
6193826826,81908,4.12
8444509148,85993,2.07
42332130,54725,4.62
6009342120,11837,2.55
4818516411,14473,0.77
1039229544,89340,4
1515943657,65345,2.85
9183547951,76728,3.84
8478376092,68285,4.44
1454073903,31737,1.07
2855402284,28578,1.43
7245730533,51934,3.72
2272892659,68804,3.17
9087377568,37895,0.61
8443685057,52458,4.12
1590988730,33843,1.82
7357811417,7496,2.74
394951937,34174,2.64
3967445448,61413,1
6101022928,8083,2.35
6322372546,8035,3.99
9778782281,10170,1.54
3867563962,7531,1.13
9277710098,71248,1.62
7669322773,58926,4.08
3917427529,26537,3.25
1934158144,30587,2
3157338466,92146,0.71
9640662474,20774,3.54
2356272189,68709,1.61
1380510406,52711,0.78
8008377895,43415,4.97
3680678403,7068,1.06
2847236502,97878,4.81
5212392063,31900,3.59
3804024939,17974,3.59
5395870775,66722,4.3
511736499,49116,1.88
2895886759,67136,2.56
6638513435,33099,2.01
4168083780,55172,1.79
2501516144,56299,3.25
7141387557,73154,1.86
2747350024,13307,4.75
9503407492,40500,4.98
4845607487,84614,3.65
2051769691,58157,0.58
1092990139,53064,4.37
5527612319,48508,1.13
8852367079,5117,1.95
1666202264,32884,1.93
8606484804,49631,4.72
8905341102,5762,4.88
5418735913,92033,3.74
970377475,2460,3.62
7320527109,76831,1.77
5120698,48582,4.82
3812396179,54016,4.05
8178951021,80840,2.67
2479115586,6845,2.28
6239453389,63625,4.5
3136508414,94346,4.05
5521273487,98929,1.94
5445047872,66,1.85
3678525130,82096,4.74
9328056960,99744,2.58
2109203997,72612,3.92
556665455,18521,2.43
6573705785,13849,4.68
2609502403,70771,0.9
1463293930,55394,0.57
8132887999,7931,3.77
7178789018,53062,3.9
2295700159,61371,1.35
9277089038,75267,4.2
145057465,2353,1.62
9452353274,4535,4.42
5434328922,57029,0.77
3327051807,26018,0.96
1461604569,49871,3.85
606518084,96049,4.31
7637625389,47591,1.57
7311621328,62428,0.52
8790217194,60118,1.76
1772445313,87117,1.4
159394992,28600,2.13
7992910755,85359,1.99
1786931285,76004,3.08
2225520858,13646,3.21
5635738740,49965,0.82
2230824358,47833,1.33
9217211301,89404,1.26
4501870609,42567,2.15
838401679,83793,3
9587315528,92673,1.12
3122936945,65301,0.97
6093390755,60889,1.17
2032956677,17988,3.45
1488430001,40079,3.83
615391848,2990,3.51
8686093533,5503,4.08
7038758506,88037,3.71
2385966456,8862,3.99
259622674,43788,4.25
2580381935,19165,0.56
5035471587,221,3.86
9421270813,26657,4.69
1831516625,25932,4.68
1918841793,10305,2.34
1757159071,38383,1.28
7589464630,17706,4.41
1577085460,52709,2.54
2279018877,88797,3.4
7431412128,77224,2.93
8781520615,42606,1.71
1276192882,15637,4.08
4065794921,43280,2.02
1690800946,16850,0.73
877883470,55423,1.93
7322044533,92064,4.98
5243163885,12230,2.88
4360255357,68222,3.72
9623306038,56254,3.54
6282385286,9399,2.21
1001900652,85241,0.53
5161988291,53927,4.28
3597752998,71654,3.13
9074325310,83788,3.35
8875965392,6325,2.12
971081962,62842,0.56
1948332638,84415,2.86
1785558780,85573,2.32
7590462053,235,0.69
2135743860,22083,2.05
9851365751,83505,3.35
9243090480,95377,1.48
7168596454,1608,3.42
2483565595,25691,2.28
2484470052,54869,3.52
7702588270,93742,3.23
5992338333,91077,1.51
9196796718,37270,1.05
3291765954,20788,0.79
652616858,25092,4
2613508245,74072,3.67
8169361928,2274,2.97
9395982132,33721,3.3
1914701538,84345,4.07
6236279358,24906,3.51
2288561509,92861,2.78
2010415757,80134,0.75
7164827734,62683,2.41
7971819985,65541,1.42
8234021674,28230,2.96
4274404843,59305,3.88
7353519273,49934,4.96
8539612501,14166,1.39
5894327065,29930,3
77053363,3429,2.79
4467084478,68868,1.25
3514036230,93410,4.9
4720421794,35894,3.78
3202903413,52139,3.39
6938082428,60137,4.41
9202941711,2000,4.85
8963522960,58520,2.14
9266835891,69070,0.85
5265722064,46962,1.85
5514326011,75658,1.6
9578652103,79729,2.62
3559061334,57403,3.12
637944734,35435,2.16
7454643275,72097,3.9
4319342350,11958,4.35
7568450733,63512,4.36
734744305,80005,2.06
5233331050,84617,3.36
8326867788,56875,2.53
8368819094,11640,2.67
8700151605,74364,4.17
6269179048,23727,1.07
1265254177,16267,3.55
9858963919,50340,3.87
7279564594,45499,1.86
6983253839,83688,4.36
9479808024,72459,2.46
3583522679,68563,0.96
1923226423,76715,3.73
664198080,4941,2.9
4224700084,78588,2.73
969621016,16277,2.17
8178275820,78985,2.27
4949766982,86551,2.3
5258344385,16549,1.13
8101930640,50876,4.71
6703316563,91135,4.65
7680297690,79007,4.55
7256340388,87987,3.92
2538269668,36761,2.15
7506762237,17180,4.76
6585436114,97963,2.49
9852996866,4260,1.69
1991135167,17609,1.43
7765110772,66182,3.16
3520718052,91411,3.85
5388573375,45401,4.54
8977771682,45258,3.31
3596900942,46019,2.24
155295996,5364,2.14
1945536198,34218,2.21
2550246555,36017,2.42
4287631655,18788,0.53
2033683703,62688,0.78
9453583714,39114,2.23
852886125,85502,3.55
5705899665,75481,4.91
5706043483,86219,4.04
5190422833,17583,4.34
7178188501,70846,3.33
2864819888,42803,3.51
7107216633,30190,1.41
1685382357,76806,1.64
7562902958,74174,3.27
2819953077,76823,4.25
8453462258,98449,0.83
4605056279,33098,3.2
5998035939,25912,3.32
2311501690,81872,4.33
356495722,57795,4.52
2695448838,56011,1.36
6986791144,75461,4.04
8619571588,12944,2.34
4088553674,65634,4.81
8177907004,92178,3.11
8533749006,95607,4.51
8694014791,73862,1.27
6311012195,20432,3.44
1312767771,97744,1.58
214919848,66328,2.87
5521682945,20204,4.67
5305770811,76080,1.74
5842420654,60389,2.08
4566893863,40507,3.38
1523729855,84566,4.46
2899786983,14386,4.79
9202528884,33556,4.54
4338327693,98866,4.94
6295686357,81081,4.41
6396194687,43588,3.68
5662786245,39082,3.05
4868150114,52501,3.86
502764834,88857,3.37
5056125341,39430,0.77
6388618916,62559,4.19
3508668494,92900,2.62
5289436093,77152,3.44
7596333614,24475,4.44
6284076508,39939,3.07
